training_start_date,testing_date,label,gbrt_oosR2,linear_oosR2,plsr_oosR2,lasso_oosR2,nn_oosR2
2018/1/23,2018/10/25,Y_M_1,0.185120184,0.12251301,0.119704932,0.138091547,0.015692659
2018/1/23,2018/10/25,Y_M_2,0.084036739,0.111246227,0.110917778,0.122709182,0.121154266
2018/1/23,2018/10/25,Y_M_3,0.020575107,0.140226777,0.126951263,0.147572591,-3.04996674
2018/1/23,2018/10/25,Y_M_4,0.026814849,0.150132118,0.134130213,0.154720356,0.012444399
2018/1/23,2018/10/25,Y_M_5,0.029450016,0.15615489,0.138651454,0.15697595,0.169823915
2018/1/23,2018/10/26,Y_M_1,0.275808925,0.222201245,0.21677613,0.217559478,0.155331355
2018/1/23,2018/10/26,Y_M_2,0.240305222,0.228718717,0.21594392,0.223635527,0.173389353
2018/1/23,2018/10/26,Y_M_3,0.19254568,0.181543065,0.169937232,0.178877163,-0.426691493
2018/1/23,2018/10/26,Y_M_4,0.144149206,0.120185827,0.108257803,0.117872701,-0.020492169
2018/1/23,2018/10/26,Y_M_5,0.105211094,0.087972523,0.076978563,0.086543415,0.06936643
2018/1/23,2018/10/29,Y_M_1,0.257350103,0.198077451,0.19469903,0.199189568,0.132547609
2018/1/23,2018/10/29,Y_M_2,0.280124041,0.249740471,0.249264107,0.251393216,0.166441149
2018/1/23,2018/10/29,Y_M_3,0.25858981,0.249021719,0.251570091,0.249388544,0.038949022
2018/1/23,2018/10/29,Y_M_4,0.206906182,0.199418243,0.201265807,0.199995034,0.00247158
2018/1/23,2018/10/29,Y_M_5,0.160089142,0.14335101,0.14148033,0.143291367,0.140029106
2018/1/23,2018/10/30,Y_M_1,0.192367915,0.194370206,0.164810799,0.186549627,0.097576895
2018/1/23,2018/10/30,Y_M_2,0.140945585,0.166406977,0.139960126,0.158332576,-0.268234749
2018/1/23,2018/10/30,Y_M_3,0.091472595,0.13382512,0.119253686,0.128308791,-0.311246148
2018/1/23,2018/10/30,Y_M_4,0.060625369,0.094825071,0.087087893,0.090855444,-0.022582977
2018/1/23,2018/10/30,Y_M_5,0.014597906,0.04550109,0.042792477,0.04357913,0.037577823
2018/1/23,2018/10/31,Y_M_1,0.159660727,0.189091546,0.16619665,0.176185445,0.051352097
2018/1/23,2018/10/31,Y_M_2,0.120508643,0.151049077,0.127554983,0.137010922,-0.072810715
2018/1/23,2018/10/31,Y_M_3,0.146466587,0.17660924,0.167457711,0.16569818,-3.412417045
2018/1/23,2018/10/31,Y_M_4,0.14669177,0.170151028,0.16745379,0.160757662,-0.035394047
2018/1/23,2018/10/31,Y_M_5,0.119167469,0.136337361,0.132756925,0.127082352,0.121134875
2018/1/23,2018/11/1,Y_M_1,0.217360596,0.177601628,0.157272342,0.176280973,0.120260252
2018/1/23,2018/11/1,Y_M_2,0.19000378,0.15816105,0.148114147,0.158660962,-0.02437064
2018/1/23,2018/11/1,Y_M_3,0.159531082,0.136755048,0.132798493,0.138206083,-0.090054359
2018/1/23,2018/11/1,Y_M_4,0.144020475,0.126560635,0.127027186,0.126383046,-0.030105806
2018/1/23,2018/11/1,Y_M_5,0.104101179,0.10526526,0.107300176,0.10331145,0.108628648
2018/1/24,2018/10/5,Y_M_1,0.192467602,0.10973402,0.112212653,0.117451428,-0.50674442
2018/1/24,2018/10/5,Y_M_2,0.212051557,0.096773647,0.091601981,0.10005158,0.017019177
2018/1/24,2018/10/5,Y_M_3,0.168204313,0.108389508,0.103894659,0.110474432,0.073090944
2018/1/24,2018/10/5,Y_M_4,0.124767892,0.080859065,0.081114954,0.081629591,0.142300158
2018/1/24,2018/10/5,Y_M_5,0.127549886,0.024005273,0.025460741,0.026267204,0.109868594
2018/1/24,2018/10/8,Y_M_1,0.314979424,0.201187651,0.200478151,0.199426931,-0.073158993
2018/1/24,2018/10/8,Y_M_2,0.26334679,0.15364027,0.151013215,0.15570626,0.131091028
2018/1/24,2018/10/8,Y_M_3,0.221445662,0.115519349,0.110873588,0.116968015,0.144900468
2018/1/24,2018/10/8,Y_M_4,0.187448484,0.099783066,0.095058924,0.101684551,0.128793656
2018/1/24,2018/10/8,Y_M_5,0.146415312,0.073011534,0.070809749,0.074032208,0.12273636
2018/1/24,2018/10/9,Y_M_1,0.193842696,0.158034516,0.152213143,0.15905329,-0.096473493
2018/1/24,2018/10/9,Y_M_2,0.165471737,0.150909848,0.143270122,0.152118554,0.130943431
2018/1/24,2018/10/9,Y_M_3,0.130667805,0.113683724,0.109717324,0.115067151,0.116186621
2018/1/24,2018/10/9,Y_M_4,0.060796852,0.063957652,0.059340045,0.064817832,0.057197849
2018/1/24,2018/10/9,Y_M_5,0.013112129,0.023078674,0.019341038,0.023022075,-0.006554605
2018/1/24,2018/10/11,Y_M_1,0.281114701,0.193894409,0.177679901,0.179492288,-0.137633994
2018/1/24,2018/10/11,Y_M_2,0.189121551,0.109408374,0.092332108,0.09657121,-0.392566443
2018/1/24,2018/10/11,Y_M_3,0.108080869,0.062912131,0.044361549,0.048191362,0.046659505
2018/1/24,2018/10/11,Y_M_4,0.070126037,0.033423404,0.014444193,0.021140076,0.052086331
2018/1/24,2018/10/11,Y_M_5,0.043714636,0.005589129,-0.014036868,-0.007197405,-0.004281506
2018/1/24,2018/10/12,Y_M_1,0.183317934,0.167358912,0.162871116,0.167339177,-0.184523244
2018/1/24,2018/10/12,Y_M_2,0.142873331,0.137054135,0.139154209,0.140647872,0.13066059
2018/1/24,2018/10/12,Y_M_3,0.048958051,0.056225127,0.063719289,0.063098183,0.062993741
2018/1/24,2018/10/12,Y_M_4,-0.01163523,1.78E-06,0.009725516,0.007425197,-0.011309088
2018/1/24,2018/10/12,Y_M_5,-0.051437434,-0.034335749,-0.025020418,-0.027398765,-0.056120561
2018/1/24,2018/10/15,Y_M_1,0.178458179,0.184619589,0.158427677,0.175685572,-0.230033374
2018/1/24,2018/10/15,Y_M_2,0.034653794,0.048735088,0.02789639,0.045342894,-0.076732258
2018/1/24,2018/10/15,Y_M_3,0.005309878,-0.005685758,-0.013488751,-0.006226404,0.009210361
2018/1/24,2018/10/15,Y_M_4,0.034656545,-0.019154505,-0.020720198,-0.020709259,0.104025737
2018/1/24,2018/10/15,Y_M_5,0.05241812,-0.038142695,-0.0442378,-0.040545149,0.006972901
2018/1/24,2018/10/16,Y_M_1,0.268891022,0.176155063,0.168954243,0.179777114,-0.136083565
2018/1/24,2018/10/16,Y_M_2,0.239803209,0.178066071,0.17961566,0.182439588,0.181387193
2018/1/24,2018/10/16,Y_M_3,0.153919177,0.115147202,0.121834913,0.121199148,0.103852732
2018/1/24,2018/10/16,Y_M_4,0.091240564,0.073383341,0.077975034,0.077593957,0.010585942
2018/1/24,2018/10/16,Y_M_5,0.04880995,0.027599304,0.031211324,0.033044251,-0.000896371
2018/1/24,2018/10/17,Y_M_1,0.209261634,0.169032407,0.150970185,0.16176803,-0.171614925
2018/1/24,2018/10/17,Y_M_2,0.164509382,0.152607665,0.14097922,0.146185113,0.017700508
2018/1/24,2018/10/17,Y_M_3,0.104713418,0.125424953,0.123334016,0.120860195,0.110223323
2018/1/24,2018/10/17,Y_M_4,0.062417862,0.082465834,0.081395361,0.079790996,0.069954873
2018/1/24,2018/10/17,Y_M_5,0.0202534,0.045203252,0.041120209,0.041257732,0.000463409
2018/1/24,2018/10/18,Y_M_1,0.258984366,0.167430517,0.181431794,0.174614584,-0.121935504
2018/1/24,2018/10/18,Y_M_2,0.189351341,0.147733838,0.15081707,0.152723595,0.12495605
2018/1/24,2018/10/18,Y_M_3,0.146421103,0.130239648,0.132577284,0.133390848,0.11809079
2018/1/24,2018/10/18,Y_M_4,0.139776335,0.124614941,0.128067425,0.125659489,0.123241149
2018/1/24,2018/10/18,Y_M_5,0.121470582,0.106564522,0.10871902,0.10739671,0.103135634
2018/1/24,2018/10/19,Y_M_1,0.235949106,0.121790318,0.134968064,0.124787576,-0.51144644
2018/1/24,2018/10/19,Y_M_2,0.242612198,0.168729005,0.171609953,0.171414371,0.035968017
2018/1/24,2018/10/19,Y_M_3,0.199557064,0.156174927,0.157219895,0.157720483,0.134480052
2018/1/24,2018/10/19,Y_M_4,0.157817903,0.116774953,0.115807666,0.119150709,0.120151336
2018/1/24,2018/10/19,Y_M_5,0.13346972,0.093167245,0.089037274,0.09494731,0.088489913
2018/1/24,2018/10/22,Y_M_1,0.163797721,0.128991616,0.100027903,0.12126391,-0.48515758
2018/1/24,2018/10/22,Y_M_2,0.12692442,0.079641016,0.053515655,0.075103543,-3.94998229
2018/1/24,2018/10/22,Y_M_3,0.081581058,0.031403408,0.013059115,0.028945535,-0.005909066
2018/1/24,2018/10/22,Y_M_4,0.065586619,0.007251299,-0.006926681,0.005465177,-0.028562726
2018/1/24,2018/10/22,Y_M_5,0.008284911,-0.049675326,-0.06178912,-0.049288125,-0.268967634
2018/1/24,2018/10/23,Y_M_1,0.138519546,0.093597801,0.075768416,0.094735044,-0.27124947
2018/1/24,2018/10/23,Y_M_2,0.077909044,0.03871872,0.019786434,0.0366543,-0.079721296
2018/1/24,2018/10/23,Y_M_3,0.042342316,0.032751447,0.017258815,0.028166125,0.00944496
2018/1/24,2018/10/23,Y_M_4,0.045592081,0.029890965,0.01925126,0.024986022,0.08433061
2018/1/24,2018/10/23,Y_M_5,0.026646302,0.006279724,-0.00422135,0.000959735,0.050148903
2018/1/24,2018/10/24,Y_M_1,0.278440717,0.255298048,0.240792317,0.253878848,-0.044203805
2018/1/24,2018/10/24,Y_M_2,0.263078315,0.269607017,0.257296285,0.266547177,0.221356989
2018/1/24,2018/10/24,Y_M_3,0.184961133,0.18410951,0.172355253,0.180759639,0.177244859
2018/1/24,2018/10/24,Y_M_4,0.142822424,0.115333489,0.105654453,0.111950103,0.116233759
2018/1/24,2018/10/24,Y_M_5,0.124408721,0.081756439,0.075489495,0.07824929,-0.019720191
